CNPJ_CIA;DENOM_CIA;DT_REFER;CD_CVM;ID_DOC;VERSAO;stock.type;stock.class;qtd.issued
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2014-01-01;21849;44796;4;ON;0;4352285
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2014-01-01;21849;44796;4;PN;0;0
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2015-01-01;21849;56832;3;ON;0;4352285
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2015-01-01;21849;56832;3;PN;0;0
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2016-01-01;21849;64257;4;ON;0;4352285
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2016-01-01;21849;64257;4;PN;0;0
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2017-01-01;21849;73649;3;ON;0;4352285
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2017-01-01;21849;73649;3;PN;0;0
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2018-01-01;21849;81404;5;ON;0;4352285
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2018-01-01;21849;81404;5;PN;0;0
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2019-01-01;21849;93905;5;ON;0;4352285
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2019-01-01;21849;93905;5;PN;0;0
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2010-01-01;21857;6992;5;ON;0;101483834
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2010-01-01;21857;6992;5;PN;0;0
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2011-01-01;21857;16779;8;ON;0;101483834
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2011-01-01;21857;16779;8;PN;0;0
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2012-01-01;21857;24118;6;ON;0;66544937
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2012-01-01;21857;24118;6;PN;0;0
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2013-01-01;21857;38186;7;ON;0;66544937
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2013-01-01;21857;38186;7;PN;0;0
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2014-01-01;21857;44750;3;ON;0;73421370
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2014-01-01;21857;44750;3;PN;0;0
