"","CNPJ_CIA","DT_REFER","ID_DOC","VERSAO","stock.type","qtd.issue"
"270","10.753.164/0001-43",2021-01-01,105761,3,"ON",0
"271","10.760.260/0001-19",2021-01-01,105936,2,"ON",201177257.078525
"272","10.807.374/0001-77",2021-01-01,105848,5,"ON",117026569.269521
"273","10.835.932/0001-08",2021-01-01,104713,2,"ON",66700714.2857143
"274","10.841.050/0001-55",2021-01-01,105948,2,"ON",0
"275","10.851.805/0001-00",2021-01-01,105609,1,"ON",0
"276","11.257.352/0001-43",2021-01-01,104970,1,"ON",0
"277","11.274.829/0001-07",2021-01-01,105228,1,"ON",0
"278","11.284.204/0001-18",2021-01-01,105095,1,"ON",32317596.8399592
"279","11.421.994/0001-36",2021-01-01,105706,2,"ON",71500390.1052377
"280","11.669.021/0001-10",2021-01-01,105075,1,"ON",265816642.386403
"281","11.716.471/0001-17",2021-01-01,105389,1,"ON",28905
"282","11.721.921/0001-60",2021-01-01,105921,2,"ON",15232291.9841692
"283","11.725.176/0001-27",2021-01-01,105544,1,"ON",528555859.743492
"284","11.992.680/0001-93",2021-01-01,105390,1,"ON",283999809.058284
"285","12.049.631/0001-84",2021-01-01,105929,2,"ON",84884642.3248882
"286","12.091.809/0001-55",2021-01-01,105960,6,"ON",132413689.161554
"287","12.108.897/0001-50",2021-01-01,105928,2,"ON",50602435.9305126
"288","12.130.744/0001-00",2021-01-01,105114,1,"ON",0
"289","12.139.922/0001-63",2021-01-01,105068,1,"ON",0
"290","12.181.987/0001-77",2021-01-01,105138,1,"ON",207967093.585297
"291","12.261.588/0001-16",2021-01-01,104740,1,"ON",0
"292","12.300.288/0001-07",2021-01-01,106034,2,"ON",0
"293","12.320.349/0001-90",2021-01-01,104890,1,"ON",826755
"294","12.420.164/0001-57",2021-01-01,106046,4,"ON",0
"295","12.489.315/0001-23",2021-01-01,105086,1,"ON",0
"296","12.528.708/0001-07",2021-01-01,105279,1,"ON",766213462.400084
"297","12.648.266/0001-24",2021-01-01,105966,2,"ON",112938909.691914
"298","12.648.327/0001-53",2021-01-01,105550,1,"ON",760382642.564982
"299","12.919.786/0001-24",2021-01-01,105185,1,"ON",0
"300","12.979.898/0001-70",2021-01-01,105467,1,"ON",3007777
"301","13.009.717/0001-46",2021-01-01,105064,1,"ON",7636918.23899371
"302","13.017.462/0001-63",2021-01-01,106011,2,"ON",0
"303","13.217.485/0001-11",2021-01-01,105635,1,"ON",241899574.584129
"304","13.270.520/0001-66",2021-01-01,104841,3,"ON",414052040.816327
"305","13.349.677/0001-81",2021-01-01,105671,1,"ON",0
"306","13.444.994/0001-87",2021-01-01,106042,2,"ON",2900289.91686208
"307","13.457.942/0001-45",2021-01-01,105679,1,"ON",0
"308","13.483.537/0001-00",2021-01-01,104989,1,"ON",0
"309","13.574.594/0001-96",2021-01-01,105217,2,"ON",275355447.193113
"310","13.584.310/0001-42",2021-01-01,105633,1,"ON",1e+08
"311","14.110.585/0001-07",2021-01-01,105213,1,"ON",126432937.271078
"312","14.127.813/0001-51",2021-01-01,104782,3,"ON",50224662.8108462
"313","14.308.514/0001-13",2021-01-01,105562,1,"ON",126000.001910538
"314","14.333.683/0001-03",2021-01-01,104818,1,"ON",0
"315","14.388.334/0001-99",2021-01-01,105753,2,"ON",0
"316","14.776.142/0001-50",2021-01-01,105606,1,"ON",109835457.436537
"317","14.785.152/0001-51",2021-01-01,105194,1,"ON",103189327.492035
"318","14.807.945/0001-24",2021-01-01,105420,1,"ON",7715297.53265602
"319","14.876.090/0001-93",2021-01-01,104943,2,"ON",1190148
"320","14.882.295/0001-81",2021-01-01,104150,2,"ON",130859580
"321","14.998.371/0001-19",2021-01-01,104960,1,"ON",10674856
"322","15.073.274/0001-88",2021-01-01,105478,1,"ON",0
"323","15.101.405/0001-93",2021-01-01,103043,1,"ON",7814.47124304267
"324","15.115.504/0001-24",2021-01-01,105219,1,"ON",29023994.2857143
